Event name,Event location,Event start date,Event start time,Event timezone,Tickets sold,Paid tickets sold,Complimentary tickets sold,Add-ons sold,Currency,Gross sales,Eventbrite service fee,Eventbrite payment processing fee,Eventbrite tax,Organizer tax,Royalty,Ticket revenue,Add-ons revenue,Ticket + add-ons revenue,Net sales
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-09-21,12:00:00,America/New_York,2,0,2,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-09-23,13:00:00,America/New_York,29,0,29,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-09-23,17:00:00,America/New_York,29,0,29,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-09-24,17:00:00,America/New_York,30,0,30,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-09-26,18:00:00,America/New_York,23,0,23,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-09-30,13:00:00,America/New_York,25,0,25,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-10-03,18:00:00,America/New_York,17,0,17,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-10-07,13:00:00,America/New_York,24,0,24,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-10-10,18:00:00,America/New_York,11,0,11,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-10-14,13:00:00,America/New_York,30,0,30,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-10-17,18:00:00,America/New_York,8,0,8,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-10-21,13:00:00,America/New_York,12,0,12,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-10-24,18:00:00,America/New_York,7,0,7,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-10-28,13:00:00,America/New_York,11,0,11,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-10-31,18:00:00,America/New_York,2,0,2,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-11-04,12:00:00,America/New_York,11,0,11,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-11-07,18:00:00,America/New_York,7,0,7,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-11-11,12:00:00,America/New_York,18,0,18,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-11-14,18:00:00,America/New_York,20,0,20,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-11-18,12:00:00,America/New_York,26,0,26,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-11-19,11:00:00,America/New_York,1,0,1,0,USD,0,0,0,0,0,0,0,0,0,0
Free Adult Indoor Beach Volleyball Classes!,QBK Sports,2023-11-21,18:00:00,America/New_York,5,0,5,0,USD,0,0,0,0,0,0,0,0,0,0
